"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')","('myopic_vpi_selection', 'moment_updating')"
-3.9,-16.7,-4.0
-9.1,-21.3,-6.6
-5.3,-13.6,-6.4
-8.7,-14.0,-10.4
-4.6,-15.1,-9.4
-4.9,-14.9,-9.4
-3.1,-15.1,-4.8
-4.5,-12.9,-6.5
-4.5,-18.4,-6.9
-16.4,-11.7,-6.3
-5.4,-16.1,-11.4
-7.0,-19.3,-6.2
-7.3,-20.0,-5.1
-1.7,-19.1,-6.6
-5.2,-10.9,-6.0
-3.8,-9.1,-9.0
-4.2,-28.6,-6.7
-10.5,-11.2,-7.2
-11.5,-16.6,-12.5
-7.7,-18.2,-9.1
-9.8,-12.3,-5.4
-7.2,-24.2,-8.2
-7.7,-12.6,-8.8
-9.5,-15.4,-8.5
-8.8,-23.0,-6.3
-4.5,-7.5,-7.0
-7.4,-16.9,-4.9
-8.5,-18.2,-8.9
-6.7,-15.5,-4.1
-5.3,-12.3,-4.4
-8.0,-18.8,-5.0
-2.0,-17.4,-5.0
-6.7,-16.2,-7.6
-9.1,-12.8,-3.8
-4.9,-22.6,-4.2
-5.6,-20.2,-16.4
-6.7,-11.4,-7.9
-7.8,-12.1,-9.8
-5.5,-13.2,-10.4
-8.9,-13.4,-6.3
-4.4,-17.7,-7.2
-5.2,-11.8,-9.2
-2.6,-18.5,-10.8
-6.0,-13.9,-7.1
-9.0,-14.7,-6.9
-2.5,-21.5,-6.3
-8.2,-23.2,-7.1
-4.7,-12.6,-4.7
-5.5,-15.4,-7.3
-6.2,-14.6,-5.6
-5.6,-19.7,-4.4
-4.2,-21.0,-10.0
-3.9,-11.7,-6.9
-7.6,-9.4,-6.1
-3.0,-11.1,-2.1
-6.2,-9.2,-11.1
-2.2,-21.3,-8.7
-3.7,-18.2,-3.5
-3.3,-16.3,-8.6
-7.9,-14.6,-6.1
-5.6,-15.6,-4.2
-7.0,-13.8,-8.3
-5.6,-23.2,-8.4
-10.3,-16.8,-5.0
-3.2,-16.0,-7.8
-7.6,-14.4,-6.1
0.0,-15.9,-9.8
-19.0,-12.9,-8.6
-7.6,-19.1,-7.6
-6.7,-12.0,-6.6
-3.1,-15.6,-7.4
-6.5,-14.0,-5.9
-8.5,-9.1,-8.4
-4.8,-16.2,-9.2
-10.3,-13.1,-12.0
-5.5,-15.3,-8.4
-0.7,-9.1,-6.4
-5.2,-11.1,-7.7
-7.7,-22.4,-3.4
-6.7,-10.2,-8.9
-4.8,-16.4,-7.7
-4.6,-26.0,-5.3
-3.6,-16.6,-5.4
-6.2,-16.7,-1.8
-6.2,-11.5,-5.7
-12.1,-23.3,-6.9
-7.9,-18.4,-5.3
-5.8,-14.5,-4.8
-5.6,-13.9,-4.3
-4.8,-17.1,-3.5
-5.3,-21.3,-5.6
-2.3,-12.4,-7.3
-5.9,-12.9,-9.0
-4.6,-20.4,-3.9
-7.9,-17.2,-1.7
-5.7,-12.6,-8.5
-5.6,-16.0,-7.9
-7.6,-16.4,-3.9
-2.8,-12.2,-3.5
-4.9,-6.5,-7.6
-5.7,-14.2,-10.8
-16.5,-14.2,-8.8
-7.4,-16.9,-9.2
-6.5,-21.7,-6.6
-8.0,-19.9,-3.8
-9.4,-9.2,-8.9
-7.3,-8.6,-7.3
-5.3,-6.9,-7.5
-9.3,-14.0,-4.8
-2.5,-11.8,-7.3
-7.0,-14.9,-8.8
-6.1,-15.6,-2.9
-3.3,-19.1,-8.0
-0.9,-16.5,-7.2
-5.8,-15.8,-10.5
-5.9,-11.7,-4.4
-0.1,-22.6,-0.9
-6.6,-9.1,-7.4
-8.8,-16.9,-6.2
-7.0,-10.0,-1.2
-3.6,-16.5,-6.2
-7.0,-11.3,-7.2
-7.6,-11.6,-2.6
-7.1,-8.2,-5.6
-3.5,-13.1,-9.6
-6.8,-13.5,-6.4
-6.6,-17.0,-6.7
-8.6,-19.8,-6.4
-3.7,-18.3,-12.3
-3.2,-15.4,-8.9
-5.2,-9.0,-4.6
-5.0,-17.1,-1.8
-6.7,-18.1,-6.2
-5.1,-9.4,-4.0
-5.3,-11.9,-6.4
-10.5,-17.1,-5.5
-2.6,-12.4,-4.2
-3.0,-15.6,-8.3
-3.4,-11.2,-7.3
-6.8,-22.0,-3.7
-8.1,-19.8,-4.6
-2.9,-16.9,-4.2
-4.4,-17.3,-6.2
-6.1,-19.9,-4.6
-4.6,-16.0,-0.6
-6.7,-12.5,-9.0
-3.0,-21.4,-3.1
-2.3,-15.5,-6.8
-3.9,-19.9,-6.4
-8.4,-13.6,-4.3
-5.3,-10.6,-5.8
-6.1,-18.1,-10.0
-1.8,-16.5,-3.5
-7.2,-12.2,-1.2
-5.0,-16.5,-6.3
-2.0,-25.1,-8.4
-4.7,-14.2,-6.3
-3.2,-14.3,-4.8
-4.6,-13.5,-1.0
-5.4,-16.0,-3.9
-7.0,-15.4,-6.8
-3.7,-12.4,-4.8
-5.6,-14.5,-3.2
-5.0,-17.5,-10.4
-6.0,-21.2,-9.5
-4.5,-13.5,-2.2
-5.5,-15.9,-6.1
-4.6,-11.9,-10.2
-10.2,-14.3,-7.7
-1.4,-12.6,-7.8
-8.5,-15.5,-4.3
-5.1,-15.6,-2.2
