greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
5.2,-0.4,0.8,-1.6
4.7,-9.5,4.6,-2.0
4.0,1.0,4.2,-3.9
4.8,-2.6,5.2,-3.1
5.3,-0.7,3.3,-6.5
1.0,-0.9,4.1,-0.5
4.8,-3.7,4.0,-1.5
4.6,1.8,4.5,0.5
4.7,2.9,5.5,-0.8
4.2,1.2,4.6,2.6
4.6,0.5,3.6,-1.9
4.3,-3.2,4.6,-1.1
4.4,-1.3,4.5,-2.3
3.3,-5.0,4.8,-2.5
4.6,1.2,3.0,-0.8
4.5,-2.2,6.4,-2.7
4.7,0.0,4.0,-1.6
5.1,2.3,3.7,-1.3
3.8,0.0,4.8,-10.2
3.6,-0.1,3.8,-2.8
5.6,-1.9,5.4,-0.2
5.2,-0.3,-1.2,-1.8
-5.1,1.1,5.0,-0.9
4.0,3.3,5.2,-3.6
4.7,2.6,4.7,-3.3
4.7,-10.7,5.1,-1.4
5.0,1.8,5.5,-2.6
3.7,-0.6,4.3,-4.6
5.3,1.1,5.6,-12.0
4.6,0.4,5.6,-0.8
5.0,1.1,4.7,-3.6
5.5,0.9,5.5,-4.1
4.6,0.4,5.0,-1.6
3.8,-2.8,4.5,-4.5
5.0,-0.3,3.1,-1.1
4.7,-0.9,4.8,-0.5
5.2,-1.6,5.1,-1.3
4.8,-3.0,3.6,-3.6
4.7,-0.1,-5.6,-1.5
5.1,-9.7,5.4,-0.9
4.6,-0.3,4.7,-1.1
3.9,-2.9,3.9,-0.1
3.8,-2.8,4.5,-2.5
4.6,-8.2,5.1,-2.4
3.2,-5.2,3.3,-4.1
3.4,0.0,6.1,-4.1
3.7,-0.5,4.8,-1.5
5.0,-2.4,5.1,-2.4
4.8,-2.3,3.5,-1.4
5.5,-0.9,4.8,-1.7
5.3,-0.5,4.2,-8.6
5.1,0.8,3.2,-1.0
4.2,0.1,3.6,-1.8
5.5,0.6,4.9,-1.6
4.2,-0.3,3.9,-0.9
4.5,-11.4,3.9,-0.5
4.1,-2.0,5.0,-1.5
4.5,-2.6,1.2,-0.6
4.3,-0.7,4.0,-11.8
5.3,1.2,3.5,-3.1
3.8,-3.1,4.7,-2.7
5.4,0.2,3.4,-2.0
5.2,0.4,3.5,-13.2
4.7,0.0,4.3,-5.9
4.5,0.3,4.2,-0.5
4.7,0.2,4.9,-2.0
4.7,-0.6,4.6,-0.4
