"(0.5, 1000, 'constant-epsilon', 0.1, 1)","(0.75, 1000, 'greedy', 0, 20)","(1, 1000, 'epsilon_greedy', 0.1, 5)","(0.75, 1000, 'constant-epsilon', 0.1, 5)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
39.4,65.4,45.04,45.16,64.56
39.04,55.76,40.04,40.12,52.88
42.76,65.2,50.44,56.64,58.88
41.48,68.48,47.32,46.04,57.08
40.44,58.6,50.72,46.52,53.72
41.4,69.4,47.24,47.56,66.56
46.04,66.8,47.04,55.72,63.84
48.04,66.16,47.32,51.24,60.92
45.48,72.4,42.24,49.6,65.96
39.96,66.12,39.48,44.8,61.08
39.24,68.2,47.44,54.84,63.08
41.16,64.92,45.8,51.68,60.8
41.84,71.52,51.32,52.44,63.6
41.28,63.64,46.16,43.96,53.4
40.88,71.16,50.4,56.48,57.08
36.48,62.72,42.4,47.72,52.44
45.28,76.68,50.2,52.28,64.72
44.0,62.84,43.84,42.36,56.8
41.28,62.96,46.44,49.84,54.08
41.2,65.92,42.04,41.0,56.24
37.44,57.04,48.36,44.4,49.16
41.44,65.52,53.6,44.56,53.88
36.36,55.84,42.68,39.96,48.12
40.04,67.4,46.72,45.16,62.48
39.88,65.4,50.36,43.4,57.72
40.04,67.0,50.6,57.36,56.84
40.32,68.36,52.6,43.68,57.12
43.72,63.72,44.64,43.88,56.24
39.96,69.12,47.08,49.04,63.12
41.48,63.64,50.12,50.24,59.0
35.12,58.76,36.36,38.64,52.88
35.76,58.32,39.6,41.84,56.16
40.36,59.6,43.48,43.72,52.36
36.8,64.72,52.0,49.04,54.88
44.2,59.2,45.04,46.84,55.32
41.04,59.32,43.8,42.72,53.72
38.48,64.72,47.96,46.96,56.72
40.76,72.52,43.04,48.8,68.8
41.6,58.72,36.44,37.12,51.52
42.88,70.16,46.76,50.64,68.24
32.48,59.04,37.56,44.56,52.64
37.96,61.36,50.0,49.52,57.44
44.08,68.16,50.0,57.84,63.88
36.56,60.48,40.68,40.56,53.92
35.0,57.72,40.56,42.8,53.32
42.04,61.88,43.96,44.6,56.16
