"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
42.8,101.6,101.6,80.8,50.8
36.0,106.8,106.8,74.8,44.0
35.2,78.8,78.8,62.0,33.2
36.4,60.0,60.0,44.0,34.0
33.6,70.8,70.8,48.4,38.0
32.0,62.4,62.4,50.8,32.8
39.6,67.2,67.2,34.8,33.2
30.4,63.2,63.2,36.4,34.0
49.6,64.8,64.8,45.6,38.4
51.6,63.2,63.2,59.6,32.8
50.0,62.4,62.4,70.0,26.8
33.2,74.4,74.4,41.2,37.2
40.8,73.6,73.6,56.4,40.0
28.0,78.4,78.4,59.6,34.0
24.8,60.0,60.0,32.4,32.8
44.8,61.6,61.6,31.2,32.4
53.2,84.4,84.4,51.6,42.4
34.8,50.8,50.8,36.4,28.8
29.2,44.4,44.4,41.6,30.8
39.6,49.6,49.6,43.6,27.2
36.8,49.6,49.6,30.0,35.6
43.6,55.6,55.6,49.2,33.6
47.6,62.0,62.0,38.4,35.6
54.8,70.0,70.0,40.4,33.2
41.2,99.2,99.2,44.4,42.4
51.6,80.4,80.4,29.2,48.8
82.4,94.8,94.8,58.4,72.4
58.4,70.0,70.0,47.2,48.8
39.6,58.8,58.8,20.4,39.2
48.8,58.4,58.4,47.6,35.2
65.6,93.2,93.2,62.0,39.2
55.2,72.4,72.4,39.6,45.6
42.8,52.0,52.0,44.0,35.2
36.0,42.4,42.4,33.2,35.6
34.0,29.2,29.2,24.0,25.2
44.8,61.6,61.6,44.8,42.8
34.4,52.4,52.4,30.8,30.8
37.6,56.4,56.4,40.8,46.0
43.2,66.4,66.4,26.8,24.0
59.6,95.2,95.2,59.6,50.8
46.0,58.4,58.4,58.8,30.4
42.0,72.0,72.0,49.2,39.6
36.4,76.0,76.0,45.2,32.0
59.6,51.2,51.2,31.2,30.8
38.0,72.8,72.8,46.0,58.0
52.8,86.8,86.8,70.0,36.0
51.2,74.4,74.4,43.2,28.8
37.2,45.6,45.6,23.2,35.2
39.6,49.6,49.6,45.2,30.0
42.0,72.0,72.0,38.4,56.0
48.4,53.6,53.6,46.8,20.0
48.0,65.2,65.2,58.8,26.0
53.2,64.0,64.0,53.6,25.2
45.2,99.2,99.2,58.8,33.2
35.2,50.8,50.8,30.0,36.0
50.8,82.4,82.4,45.2,53.6
52.0,72.4,72.4,62.4,25.6
43.6,66.0,66.0,38.0,25.6
