greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
30.88,38.04,33.24,35.92
30.76,36.92,31.36,41.32
31.24,36.56,33.92,41.52
29.36,33.2,32.76,37.6
29.12,36.28,31.84,35.28
32.08,42.28,28.84,39.16
25.84,37.08,30.64,42.0
31.04,35.0,30.4,34.92
35.64,36.32,39.8,38.32
30.84,42.36,32.08,38.76
31.36,43.24,31.88,37.16
30.76,38.56,33.04,36.64
29.92,41.84,31.16,41.04
30.52,36.48,35.92,37.92
29.84,38.16,33.2,44.36
31.0,36.16,33.84,36.44
36.04,37.76,31.12,38.64
30.4,34.12,32.2,39.64
34.56,38.4,40.68,36.88
32.44,42.0,35.32,40.56
30.28,38.68,29.6,47.96
31.2,44.32,30.96,36.96
26.4,38.96,29.72,42.4
30.88,38.76,33.68,41.96
29.6,41.44,32.52,35.72
36.72,40.68,32.28,37.88
26.92,39.88,27.52,38.88
30.28,36.24,31.88,46.04
31.0,36.92,38.2,41.28
34.28,38.08,36.32,37.16
34.16,38.08,39.52,37.16
30.92,42.16,27.6,39.24
30.24,40.6,34.72,38.64
32.28,41.36,34.64,43.92
29.44,37.08,32.12,45.4
30.2,35.2,34.2,41.08
34.28,39.28,33.2,36.16
29.64,41.24,30.96,38.4
28.36,37.84,29.44,40.8
31.48,40.92,31.2,42.28
30.36,37.12,31.4,35.92
35.4,31.24,33.12,42.84
32.24,38.84,29.72,40.72
32.88,35.28,29.04,35.44
30.96,33.64,32.6,40.52
31.64,32.88,34.56,40.2
30.2,41.44,34.52,42.72
29.16,39.8,27.28,39.4
33.0,42.84,36.72,32.96
30.24,35.16,27.72,39.44
31.72,37.4,33.84,36.92
31.04,42.32,31.24,37.76
35.64,37.2,33.04,41.88
31.76,34.68,34.32,41.68
29.56,39.88,33.48,37.52
31.68,40.28,32.16,40.52
31.92,37.88,33.12,42.68
32.16,38.2,29.56,40.96
31.76,34.28,31.64,39.16
32.04,37.88,33.6,37.76
36.48,36.04,33.52,38.92
37.52,38.8,34.52,38.32
30.32,38.16,31.56,42.36
34.44,37.32,30.84,41.32
32.76,39.4,34.64,49.08
30.52,39.12,37.84,42.48
30.92,35.72,31.44,39.84
28.08,42.08,34.48,44.64
32.68,41.6,29.56,36.68
33.76,38.4,29.32,42.64
32.04,39.52,30.92,40.48
35.6,37.04,32.24,40.56
29.72,41.84,38.12,38.2
28.2,44.08,32.64,41.28
33.56,40.56,28.36,41.92
28.32,36.16,31.6,36.36
28.92,37.08,30.72,40.88
32.32,40.96,35.88,47.04
31.4,42.08,28.28,40.92
27.56,45.12,36.64,41.8
33.08,42.76,33.16,47.52
